order_id,customer_id,order_date,status
1001,1,2026-01-05,Completed
1002,2,2026-01-08,completed
1003,3,2026-01-12,PENDING
1004,4,2026-01-15,completed
1005,5,2026-01-20,Cancelled
1006,1,2026-02-02,completed
1007,6,2026-02-10,completed
1008,7,2026-02-14,pending
1009,8,2026-02-18,Completed
1010,2,2026-03-01,completed
1011,9,2026-03-09,cancelled
1012,10,2026-03-15,Completed
1013,3,2026-03-22,completed
1014,4,2026-04-03,PENDING
1015,5,2026-04-11,completed
1016,6,2026-04-19,Completed
1017,7,2026-05-02,completed
1018,8,2026-05-14,cancelled
1019,9,2026-05-25,Completed
1020,10,2026-06-06,completed
